label,score,sentence
environmental,0.9158521890640259,Overview Fluence is a leading global provider of energy storage products and services and artificial intelligence (AI)-enabled digital applications (Fluence IQ) for renewables and storage.
environmental,0.623831570148468,"Our service offerings include delivery services and recurring operational services, as well as financing structuring services, such as energy-storage-as-a-service (ESaaS)."
environmental,0.98530513048172,"The Fluence IQ Digital Platform includes Fluence Mosaic, which delivers AI-powered market bidding optimization for solar, wind, and energy storage assets, including non-Fluence energy storage systems."
environmental,0.9669685959815979,"In October 2020, we acquired the software and digital intelligence platform of Advanced Microgrid Solutions (AMS), a leading artificial intelligence-enabled optimized bidding software for utility-scale storage and renewable generation assets."
environmental,0.982276976108551,"In April 2022, the Company entered into a share sale purchase agreement and acquired all outstanding shares, the assets and assumed the liabilities of Nispera AG (Nispera), a Zurich based provider of artificial intelligence (AI) and machine learning-enabled software-as-a-service (SaaS) targeting the renewable energy sector."
environmental,0.9970294237136841,Our Industry and Market Opportunity Climate change is an existential threat.
environmental,0.9981347322463989,Severe weather events and broader awareness of the financial implications of climate change are driving a systemic global transition away from fossil fuels towards sustainable energy systems.
environmental,0.9975060820579529,"However, renewable generation, unlike fossil fuel generation, has no inherent storage capacity and can only be used in favorable wind and solar conditions."
environmental,0.9975326061248779,Energy storage is therefore a critical enabler of large-scale adoption of 24/7 renewable energy.
environmental,0.99315345287323,"Furthermore, accelerating electrification of industries such as transportation is driving demand for more generation."
environmental,0.9847022891044617,"Energy storage can help both serve and smooth additional peak demand, improving grid reliability and managing energy requirements."
environmental,0.9846147894859314,"As the first truly digital asset on the electric grid, energy storage is also a uniquely flexible tool for grid planners, operators, and power providers."
environmental,0.9968395233154297,"We believe energy storage sits at the epicenter of the global clean energy transition and represents the backbone of a massive change in our energy market infrastructure driven by three key trends: Grid modernization, decarbonization, and digitalization."
environmental,0.9975253939628601,The energy transformation will require $134 trillion of investment through 2050 based on the midpoint of Bloomberg New Energy Finances (BloombergNEF) New Energy Outlook (NEO) 2021 clean electricity and green hydrogen pathway.
environmental,0.9978690147399902,"Governments across the globe have announced and implemented various policies, regulation and legislation to support the transition from fossil fuels to low-carbon forms of energy which will act as potential catalysts to our growth in the Americas, Europe and Asia."
environmental,0.9673616290092468,"For Example, In August 2022, the United States passed the Inflation Reduction Act of 2022 (the IRA), which includes a number of government incentives that support the adoption of energy storage products and services and are anticipated to benefit the Company and its operations."
environmental,0.6908288598060608,"The energy storage products market is driven by the deployment of new energy storage products globally, and its addressable market is comprised of the annual spend associated with the manufacturing, delivery, and installation of new energy storage products."
environmental,0.5054999589920044,"We believe most forecasts for the energy storage sector, including BloombergNEFs, understate the size and market opportunity as forecasts generally only account for spend associated with the physical energy storage asset and do not account for the associated service and digital spend."
environmental,0.9705642461776733,"According to BloombergNEF, global installed energy storage capacity, excluding the residential market, grew 57% per annum between 2015 and 2020, and the installed base is expected to grow at a 31% annual growth rate through 2030."
environmental,0.9834866523742676,These trading platforms can be deployed on both energy storage assets and renewable and conventional generation assets.
environmental,0.9844889640808105,"The digital applications and solutions sector is driven by the growth in installed energy storage products and renewable and conventional generation assets, and its addressable market is comprised of the total global installed fleet of energy storage products and renewable and conventional generation assets."
environmental,0.9979606866836548,"We believe there is an opportunity to not only deploy digital applications and solutions on individual assets but also across entire energy storage fleets and portfolios of generation assets to improve their collective performance and economic output, and to reduce the overall carbon footprint of the electric grid by optimizing the interactions between different asset types."
environmental,0.9969927072525024,"We believe there are multiple factors driving continued growth in the energy storage sector, including: The accelerating transition from fossil to renewable generation is expected to require significant increases in energy storage capacity to both offset potential grid instability caused by intermittent renewable resources and enable the use of power from renewable generation assets at times when the natural resource is unavailable."
environmental,0.9944168329238892,Growing capacity constraints on existing power grids that were not designed to support distributed and renewable generation infrastructure or technologies such as electric vehicles are positioning energy storage assets as a key solution.
environmental,0.994121253490448,"As predicted by IHS Markit, a forecasted reduction in the battery cost by 2024 is expected to improve the economics of energy storage and support the development of larger energy storage systems."
environmental,0.9980081915855408,"Environmental responsibility has become a priority for major companies and investors, with over 300 major companies having pledged to source 100% of their energy from renewables as part of the RE100, a global corporate renewable energy initiative."
environmental,0.9981732368469238,Governments across the globe have announced policies to support the transition from fossil fuels to low-carbon forms of energy.
environmental,0.9954439401626587,We have repeatedly pioneered new use cases for grid-scale energy storage.
environmental,0.9953108429908752,"Some of the uses we have supported include frequency regulation, generation enhancement, capacity peak power, energy cost control, microgrids/islands, renewable integration, virtual dams, T&D enhancement, and critical power."
environmental,0.9102339744567871,"We offer four energy storage products built on our sixth-generation Tech Stack foundation, which are optimized for common customer use cases but can be configured for specific use cases: Gridstack: grid-scale, industrial-strength energy storage product designed for demanding market applications with industry-leading reliability, scalability, and safety."
environmental,0.9857902526855469,"Its design is built for applications including flexible peaking capacity, frequency regulation, renewable integration, transmission, and distribution enhancement and more."
environmental,0.9196988344192505,"Its product architecture unites batteries and PV on the same side of the DC bus to take advantage of higher PV-to-inverter ratios, maximize solar yield, and simplify the interconnection process."
environmental,0.8403137922286987,"Edgestack: commercial energy storage product that discharges when needed to flatten a facilitys energy load profile, resulting in significantly reduced demand charges."
environmental,0.9961961507797241,Ultrastack: the entities that control and operate our electricity system are facing significant reliability challenges as the grid moves away from higher-cost thermal generation assets and increasingly relies on energy from lower-cost but variable renewables and low carbon sources.
environmental,0.5094898343086243,"In addition to energy storage products, our offerings include delivery services and recurring operational services."
environmental,0.9836982488632202,"For instance, ESaaS enables customers to access the benefits of energy storage without upfront investment or technical expertise."
environmental,0.9533016085624695,"The Fluence Mosaic Application, which we acquired from AMS in 2020, is an artificial intelligence-enabled bidding software for utility-scale storage and renewable and conventional generation assets, enabling customers to optimize asset trading in wholesale electricity markets."
environmental,0.9924889802932739,"Our second application is the Fluence Nispera Application that was acquired in 2022 from Nispera, a Zurich-based provider of artificial intelligence (AI) and machine learning-enabled software-as-a-service (SaaS) targeting the renewable energy sector."
environmental,0.995859682559967,"Nisperas advanced technology helps customers monitor, analyze, forecast, and optimize the performance and value of renewable energy assets."
environmental,0.9902011752128601,Its flagship offering is an AI-driven utility-scale asset performance management platform that currently has 8 GW of assets under management across 450 wind and solar projects on a global basis.
environmental,0.9326077699661255,"Additionally, Nispera is developing the capability to utilize its asset performance management technology onto battery energy storage systems thus providing our customers additional solutions to lower their cost of ownership of energy storage assets."
environmental,0.6692677736282349,"Additionally, we intend to offer the Nispera application as an add-on feature to our energy storage product sales."
environmental,0.993999719619751,"Our growth strategy includes leveraging our global scale, technology leadership, and market share position to help transform the way we power our world for a more sustainable future."
environmental,0.9173660278320312,"We intend to further develop energy products, services and digital applications into solutions that solve our customers energy challenges, and expand our services with additional value-add offerings."
environmental,0.8557285666465759,"Our Customers As of September 30, 2022, we have deployed energy storage products in 44 markets in 36 countries."
environmental,0.9953281879425049,"We are a purpose-built, purpose-driven company on a mission to transform the way we power our world for a more sustainable future."
environmental,0.9983249306678772,We support the clean energy transition by enabling greater adoption of renewable energy and decarbonized technologies such as reduced use of thermal generation resources.
environmental,0.9944150447845459,"The Companys products and services enable more sustainable, reliable, and resilient electric grids in a repeatable, scalable way."
environmental,0.9907119870185852,Fluences mission to Transform the way we power our world is not just a tagline but at the core of what we do and that includes our Companys Sustainability Program.
environmental,0.9613986611366272,We then consolidated our environmental stewardship and responsible sourcing practices within the Company for greater support and progress.
environmental,0.9893175959587097,"We are building our Sustainability Program upon three key pillars: Reporting & Stakeholder Engagement Environmental Stewardship & Compliance Responsible Sourcing & Social Compliance Reporting & Stakeholder Engagement Fluence believes in holding ourselves accountable to our employees, our customers, our partners, and our shareholders."
environmental,0.993259847164154,We emphasize transparency as the foundation of our accountability in our Sustainability Program.
environmental,0.9954394698143005,Fluences Sustainability Program is governed by two internal committees our ESG Council and ESG Steering.
environmental,0.9935474991798401,These are cross functional leadership teams responsible for gathering alignment and support across the organization to advance our ESG initiatives.
environmental,0.9920580983161926,"The ESG Council is made up of leadership representing key internal stakeholders (including individuals with expertise in environment, supply chain, human resources, health and safety, legal, marketing, finance, ethics, and logistics)."
environmental,0.9915905594825745,"The ESG Council reports to our ESG Steering, which is comprised of five executive leaders (our Chief Executive Officer, Chief Financial Officer, Chief Human Resources Officer, Chief Supply Chain and Manufacturing Officer, and General Counsel)."
environmental,0.9980708956718445,"In fiscal year 2022, we committed to publishing our first annual sustainability report in February/March 2023, which we intend to align with the Sustainability Accounting Standards Board (SASB) Fuel Cells & Industrial Batteries standard in addition to those standards promulgated by both the Global Reporting Initiative (GRI) and the Task Force on Climate-Related Financial Disclosures (TCFD)."
environmental,0.9979429841041565,"We intend that our inaugural sustainability report will include our Scope I & II Green House Gas (GHG) baseline, and certain portions of our Scope III emissions as well as other important topics including environmental performance, responsible sourcing, stakeholder engagement, governance, philanthropy, community engagement, financial performance, and safety."
environmental,0.9974985718727112,"Environmental Stewardship & Compliance The Company is demonstrating our commitment to preserving the planets natural resources through, among other things, the implementation of industry best practices and procedures to measure and reduce our greenhouse gas emissions from facilities, supply chain logistics, and employee travel; measuring our waste output and maximizing systems to divert waste away from landfills; and developing and implementing a product recycling competency."
environmental,0.983119785785675,"We employ a holistic and stakeholder driven approach by bringing together internal stakeholder teams like total quality management, environmental health and safety, engineering, supply chain management, and others on these measures and the data we collect in these efforts will be used to develop responsive actions by us that will continuously reduce our environmental impact."
environmental,0.996067225933075,"Over the last two years, our acumen for developing environmental management systems and achieving continuous improvement of its environmental performance has been demonstrated by our certification of the ISO standard at our corporate office in Arlington, Virginia and the testing facility in Erlangen, Germany which requires an organization to implement and demonstrate compliance with an effective environmental management system to identify and control the environmental impact of its activities, products, and services; continually improve environmental performance; and implement a systematic approach to setting environmental objectives and targets."
environmental,0.997328519821167,"Some of our core programs developed over the past two years are our Conflict Minerals Due Diligence Program, Supplier GHG (Greenhouse Gas) Emissions Disclosures and a Supplier Social Accountability Auditing program."
environmental,0.9452782273292542,"Pursuant to this agreement, we have a license to develop, manufacture and commercialize an optimized battery subsystem that is significantly more energy dense than todays standard solutions."
environmental,0.8020567893981934,"Competition Our products, services, and digital applications are highly specialized and specific to the clean energy industry."
environmental,0.9982576966285706,"Government Regulation and Compliance Greenhouse Gas Emission Related Policies, Regulations and Legislation Governments across the globe have announced and implemented various policies, regulation and legislation to support the transition from fossil fuels to low-carbon forms of energy."
environmental,0.9981381893157959,"For example, the United States rejoined the Paris Agreement effective February 19, 2021, an international climate change agreement among almost 200 nations and the European Union, that established a long-term goal of keeping the increase in global average temperature well below 2C above pre-industrial levels and which calls for countries to set their own greenhouse gas (GHG) emissions targets and be transparent about the measures each country will use to achieve these targets."
environmental,0.9980231523513794,"In August 2022, the United States passed the Inflation Reduction Act of 2022 (the IRA), which consists of a number of provisions aimed directly at confronting the climate change crisis."
environmental,0.9984059929847717,"Internationally, in June 2021, the European Commission adopted a package of legislative proposals (the Fit for 55 package) as part of the European Green Deal, which encompasses a number of wide-scale proposals aimed at reducing European GHG emissions by 55% by 2030 and targeting net-zero emissions by 2050."
environmental,0.9961870312690735,"Moreover, the European Commission proposed the REPowerEU Plan in May 2022, which is centered around the goal of making Europe independent from Russian fossil fuels well before 2030, in light of Russia's invasion of Ukraine early in 2022."
environmental,0.9979215264320374,It is meant to incentivize and accelerate the transition to clean energy alternatives and aims to increase the security of energy supply by building and connecting more renewable generation to the grid.
environmental,0.9983421564102173,"In September 2022, Australia passed climate change legislation containing a targeted 43% reduction in the emissions intensity of its economy of 2005 GHG levels by 2030 and a reduction to net-zero emissions by 2050."
environmental,0.9983362555503845,"In August 2022, India revised its previous pledge to achieve a 33 35% reduction in emissions intensity by 2030 and has committed to reduce emissions intensity by 45% of 2005 GHG levels by 2030 and to achieve about 50% cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030."
environmental,0.9982351064682007,"Current and future legislation or regulations that may be adopted to address climate change could make lower GHG-emitting energy sources, such as solar and wind, more desirable than higher GHG-emitting energy sources, such as coal and natural gas."
environmental,0.9982682466506958,"As a result, such climate change regulatory and legislative initiatives with more stringent limitations on GHG emissions would potentially increase the demand for energy storage products and related services."
environmental,0.9952906370162964,"Policy Initiatives including Tax Incentives, Cash Grants and Performance Incentives There are varying policy initiatives across the United States and abroad designed to support and accelerate adoption of clean and/or reliable distributed generation technologies."
environmental,0.9850959181785583,"In the United States, our energy storage products are currently installed or in delivery in Arizona, California, Colorado, Illinois, Indiana, Maryland, Massachusetts, Minnesota, New Mexico, New York, New Jersey, North Carolina, Ohio, Pennsylvania, Texas, Utah and West Virginia, and each state has its own enabling policy framework, which is subject to change."
environmental,0.9971758127212524,"Some states have utility procurement programs, energy storage mandates, targets or goals, and/or renewable portfolio standards for which our technology is eligible."
environmental,0.9961802959442139,"As noted, several states have an energy storage mandate or policies designed to encourage the adoption of storage, including nine states with specific energy storage targets as of early 2022."
environmental,0.9963346719741821,"Other states, including Illinois and Vermont, are studying energy storage deployment policies and there may be further energy storage mandates coming."
environmental,0.9885984659194946,Storage installations also are supported in certain states by state public utility commission policies that require utilities to consider alternatives such as storage in integrated resource planning proceedings before they can build new generation.
environmental,0.9862246513366699,"In addition, the Federal Energy Regulatory Commission (FERC) has taken a number of steps to help to enable the participation of energy storage in wholesale energy markets."
environmental,0.9881276488304138,"Additionally, FERC is currently taking public comment on a Notice of Proposed Rulemaking seeking to improve interconnection procedures with proposed design elements such as including grid-enhancing technologies like energy storage in interconnection studies and applications."
environmental,0.9140636324882507,"To install and operate energy storage products on our platform, we, our customers, or our partners, as applicable, are required to obtain applicable permits and approvals from local authorities having jurisdiction to install energy storage products and to interconnect the products with the local electrical utility."
environmental,0.9964807629585266,IRS private letter ruling clarified that energy storage is eligible for federal tax credits if charged primarily by qualifying renewable resources.
environmental,0.9957334399223328,"Beginning in 2025, the existing energy ITC will be replaced by a Clean Electricity Investment Tax Credit (CEITC) or tech neutral regime, which is available for any investment in a qualified storage facility that is placed in service after calendar year 2024 (prevailing wage and apprenticeship requirements will still apply)."
environmental,0.9935433864593506,"Finally, the IRA creates the Advanced Manufacturing Production Credit (AMPC), which applies to clean energy technology components produced in the US and sold after calendar year 2022, including battery cells and battery modules, which will begin to phase out in 2030."
environmental,0.9980459213256836,"Our future growth in a nascent and rapidly-evolving industry is dependent on a number of factors, including rising demand for clean electric power solutions that can provide electric power with lower carbon emissions and replacement of conventional generation sources and the adoption speed of digital software applications to modernize the efficiency of power assets and the electric grid."
environmental,0.9974545836448669,"Among other renewable energy market trends, we expect our business results to be driven by declines in the cost of generation of renewable power, decreases in the cost of manufacturing battery modules and cells, customer needs for services and digital applications, commercial, legal, regulatory, and political pressure for the reduced use of and reliance on fossil fuels and electric power generation that relies on fossil or other non-renewable fuels, and a rapidly growing energy storage market driven by increasing demand from commercial and industrial customers, utilities, and grid operators."
environmental,0.9946964979171753,"In particular, global inflationary pressures in the last year have disrupted the historical trend of declining renewable energy costs and declining battery costs, and it is unclear when, or if, our market segment will return to the historical trend of declining costs."
environmental,0.9593496322631836,"Changes, or in some cases a lack of change, in any of the laws, regulations, ordinances, or other rules that apply to customer installations and new technology could make it more costly for our customers to install and operate our energy storage products on particular sites, and in turn could negatively affect our ability to deliver cost savings to customers for the purchase of electricity."
environmental,0.997448742389679,"The installation and operation of our energy storage products at a particular site are also generally subject to oversight and regulation in accordance with federal, state, and local laws and ordinances relating to building codes, safety, environmental protection, and related matters, and typically require obtaining and keeping in good standing various local and other governmental approvals and permits, including environmental approvals and permits, that vary by jurisdiction."
environmental,0.9350937008857727,"It is difficult and costly to track the requirements of every individual authority having jurisdiction over our energy storage product installations, to design our energy storage products to comply with these varying standards, and for our customers to obtain all applicable necessary approvals and permits."
environmental,0.8632737398147583,"Furthermore, unforeseen delays in the review and permitting process could delay the timing of the installation of our energy storage products and could therefore adversely affect the amount of the recognition of revenue related to the sale of our energy storage products, which could adversely affect our operating results."
